Date : 2023-07-13 23:38:42
Directory : /home/ahnaf/Documents/Web Development/Mf-frontend/src
Total : 109 files,  13857 codes, 194 comments, 1010 blanks, all 15061 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| FunctionBased/Functions/Model Building/BuildModel                                                                                                             |         13 |      3,250 |          4 |        125 |      3,379 |
| FunctionBased/Functions/Model Building/BuildModel (Files)                                                                                                     |          1 |        326 |          4 |         22 |        352 |
| FunctionBased/Functions/Model Building/BuildModel/components                                                                                                  |         12 |      2,924 |          0 |        103 |      3,027 |
| FunctionBased/Functions/Model Building/BuildModel/components/Categorical                                                                                      |          6 |      1,520 |          0 |         52 |      1,572 |
| FunctionBased/Functions/Model Building/BuildModel/components/Continuous                                                                                       |          6 |      1,404 |          0 |         51 |      1,455 |
| FunctionBased/Functions/Model Building/ModelEvaluation                                                                                                        |          1 |        252 |          3 |         12 |        267 |
| FunctionBased/Functions/Model Building/ModelPrediction                                                                                                        |          3 |        347 |          4 |         31 |        382 |
| FunctionBased/Functions/Model Building/Models                                                                                                                 |          1 |        103 |          0 |          8 |        111 |
| FunctionBased/Functions/Model Building/SplitDataset                                                                                                           |          1 |        275 |          0 |         20 |        295 |
| FunctionBased/Functions/ModelDeployment                                                                                                                       |          1 |        102 |          0 |          8 |        110 |
| FunctionBased/Functions/ReverseML                                                                                                                             |          1 |        110 |          0 |          8 |        118 |
| FunctionBased/Functions/TimeSeriesAnalysis                                                                                                                    |          1 |        226 |          1 |         12 |        239 |
| NodeBased                                                                                                                                                     |         16 |      1,418 |         59 |         93 |      1,570 |
| NodeBased/CustomNodes                                                                                                                                         |          4 |        298 |          2 |         31 |        331 |
| NodeBased/CustomNodes/ChartNode                                                                                                                               |          1 |         67 |          1 |          5 |         73 |
| NodeBased/CustomNodes/EDANode                                                                                                                                 |          1 |         57 |          0 |          6 |         63 |
| NodeBased/CustomNodes/TableNode                                                                                                                               |          1 |         83 |          1 |          7 |         91 |
| NodeBased/CustomNodes/UploadFile                                                                                                                              |          1 |         91 |          0 |         13 |        104 |
| NodeBased/UpdateNodes                                                                                                                                         |         11 |        868 |         24 |         57 |        949 |
| NodeBased/UpdateNodes/UpdateEDANode                                                                                                                           |         11 |        868 |         24 |         57 |        949 |
| NodeBased/UpdateNodes/UpdateEDANode (Files)                                                                                                                   |          1 |        142 |          0 |          8 |        150 |
| NodeBased/UpdateNodes/UpdateEDANode/plots                                                                                                                     |         10 |        726 |         24 |         49 |        799 |
| NodeBased/components                                                                                                                                          |          1 |        252 |         33 |          5 |        290 |
| NodeBased/components/Sidebar                                                                                                                                  |          1 |        252 |         33 |          5 |        290 |
| Pages                                                                                                                                                         |          5 |        748 |         24 |         44 |        816 |
| Slices                                                                                                                                                        |          5 |        163 |          6 |         20 |        189 |
| Slices (Files)                                                                                                                                                |          4 |        130 |          5 |         16 |        151 |
| Slices/NodeBasedSlices                                                                                                                                        |          1 |         33 |          1 |          4 |         38 |
| util                                                                                                                                                          |          2 |        281 |          6 |         52 |        339 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/App.css                                                                                                 | CSS            |         37 |          0 |          6 |         43 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/App.jsx                                                                                                 | JavaScript JSX |         31 |          1 |          3 |         35 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/AgGridComponent/AgGridComponent.jsx                                            | JavaScript JSX |         73 |          1 |          7 |         81 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardLeft/DashBoardLeft.jsx                                                | JavaScript JSX |         58 |          0 |          6 |         64 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardRight/DashBoardRight.jsx                                              | JavaScript JSX |        202 |          8 |         22 |        232 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DashBoardTop/DashBoardTop.jsx                                                  | JavaScript JSX |         55 |          0 |          6 |         61 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/DateTime/DateTime.jsx                                                          | JavaScript JSX |         26 |          0 |          5 |         31 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FeaturePair/FeaturePair.jsx                                                    | JavaScript JSX |        125 |          0 |         15 |        140 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FileTab/FileTab.jsx                                                            | JavaScript JSX |        192 |          5 |         13 |        210 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/FunctionTab/FunctionTab.jsx                                                    | JavaScript JSX |        224 |          0 |          6 |        230 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/MultipleDropDown/MultipleDropDown.jsx                                          | JavaScript JSX |        107 |          2 |         14 |        123 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/Navbar/Navbar.jsx                                                              | JavaScript JSX |         30 |          0 |          3 |         33 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/NextTable/NextTable.jsx                                                        | JavaScript JSX |         32 |          0 |          4 |         36 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/SingleDropDown/SingleDropDown.jsx                                              | JavaScript JSX |         65 |          0 |         11 |         76 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Components/TreeView/TreeView.jsx                                                          | JavaScript JSX |         80 |          1 |         11 |         92 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetCorrelation.jsx                                                  | JavaScript JSX |        330 |         16 |         39 |        385 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetDisplay.jsx                                                      | JavaScript JSX |         52 |         14 |         10 |         76 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetDuplicates.jsx                                                   | JavaScript JSX |        153 |          6 |         18 |        177 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetGroup.jsx                                                        | JavaScript JSX |        153 |          1 |         15 |        169 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetInformation.jsx                                                  | JavaScript JSX |        115 |         11 |         17 |        143 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Dataset/DatasetStatistics.jsx                                                   | JavaScript JSX |         77 |          1 |         12 |         90 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/BarPlot.jsx                                                                 | JavaScript JSX |        160 |          1 |         11 |        172 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/BoxPlot.jsx                                                                 | JavaScript JSX |        161 |          1 |         11 |        173 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/CountPlot.jsx                                                               | JavaScript JSX |        145 |          1 |         12 |        158 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/CustomPlot.jsx                                                              | JavaScript JSX |        102 |          1 |         11 |        114 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/Histogram.jsx                                                               | JavaScript JSX |        244 |          1 |         12 |        257 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/LinePlot.jsx                                                                | JavaScript JSX |        136 |          1 |         11 |        148 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/PiePlot.jsx                                                                 | JavaScript JSX |        149 |          1 |         13 |        163 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/RegPlot.jsx                                                                 | JavaScript JSX |        119 |          0 |         12 |        131 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/ScatterPlot.jsx                                                             | JavaScript JSX |        121 |          0 |         11 |        132 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/EDA/ViolinPlot.jsx                                                              | JavaScript JSX |        167 |          0 |         11 |        178 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/AddModify.jsx                                     | JavaScript JSX |        245 |          1 |         15 |        261 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_ExtractText.jsx                     | JavaScript JSX |         41 |          0 |          5 |         46 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_GroupCategorical.jsx                | JavaScript JSX |        156 |          2 |         10 |        168 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_GroupNumerical.jsx                  | JavaScript JSX |        177 |          0 |          6 |        183 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_MathOperation.jsx                   | JavaScript JSX |         25 |          0 |          4 |         29 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Add_NewColumn.jsx                       | JavaScript JSX |         63 |          0 |          5 |         68 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Modify_ProgressApply.jsx                | JavaScript JSX |         28 |          0 |          5 |         33 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AddModify/Component/Modify_ReplaceValue.jsx                 | JavaScript JSX |        183 |          0 |          8 |        191 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AlterFieldName/AlterFieldName.jsx                           | JavaScript JSX |        179 |          1 |         16 |        196 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/AppendDataset/AppendDataset.jsx                             | JavaScript JSX |        118 |          0 |         11 |        129 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/ChangeDType/ChangeDType.jsx                                 | JavaScript JSX |        183 |          1 |         15 |        199 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/Cluster/Cluster.jsx                                         | JavaScript JSX |        213 |          0 |          8 |        221 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/DropColumn/DropColumn.jsx                                   | JavaScript JSX |        161 |          1 |         13 |        175 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/DropRow/DropRow.jsx                                         | JavaScript JSX |        140 |          1 |         12 |        153 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/Encoding/Encoding.jsx                                       | JavaScript JSX |        176 |          1 |         16 |        193 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/FeatureSelection.jsx                       | JavaScript JSX |         63 |          0 |          5 |         68 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/BestOverallFeature.jsx          | JavaScript JSX |         38 |          0 |          4 |         42 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/MutualInformation.jsx           | JavaScript JSX |          7 |          0 |          2 |          9 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/ProgressiveFeature.jsx          | JavaScript JSX |         68 |          0 |          4 |         72 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/FeatureSelection/components/SelectKBest.jsx                 | JavaScript JSX |        110 |          0 |          5 |        115 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/MergeDataset/MergeDataset.jsx                               | JavaScript JSX |        149 |          1 |         14 |        164 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Feature Engineering/Scaling/Scaling.jsx                                         | JavaScript JSX |        157 |          1 |         11 |        169 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/FinalDataset/FinalDataset.jsx                                                   | JavaScript JSX |         64 |          0 |          6 |         70 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/BuildModel.jsx                                        | JavaScript JSX |        326 |          4 |         22 |        352 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/DecisionTreeClassification.jsx | JavaScript JSX |        249 |          0 |          9 |        258 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/KNearestNeighbour.jsx          | JavaScript JSX |        214 |          0 |          8 |        222 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/LogisticRegression.jsx         | JavaScript JSX |        259 |          0 |          8 |        267 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/MultilayerPerceptron.jsx       | JavaScript JSX |        270 |          0 |          9 |        279 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/RandomForestClassification.jsx | JavaScript JSX |        276 |          0 |         10 |        286 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Categorical/SupportVectorMachine.jsx       | JavaScript JSX |        252 |          0 |          8 |        260 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/DecisionTreeRegression.jsx      | JavaScript JSX |        248 |          0 |          8 |        256 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/LassoRegression.jsx             | JavaScript JSX |        247 |          0 |          8 |        255 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/LinearRegression.jsx            | JavaScript JSX |        178 |          0 |          7 |        185 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/RandomForestRegression.jsx      | JavaScript JSX |        326 |          0 |         10 |        336 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/RidgeRegression.jsx             | JavaScript JSX |        233 |          0 |          8 |        241 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/BuildModel/components/Continuous/SupportVectorRegressor.jsx      | JavaScript JSX |        172 |          0 |         10 |        182 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelEvaluation/ModelEvaluation.jsx                              | JavaScript JSX |        252 |          3 |         12 |        267 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelPrediction/ModelPrediction.jsx                              | JavaScript JSX |        218 |          4 |         18 |        240 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelPrediction/ShowDataClassifier.jsx                           | JavaScript JSX |         66 |          0 |          7 |         73 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/ModelPrediction/ShowDataRegressor.jsx                            | JavaScript JSX |         63 |          0 |          6 |         69 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/Models/Models.jsx                                                | JavaScript JSX |        103 |          0 |          8 |        111 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/Model Building/SplitDataset/SplitDataset.jsx                                    | JavaScript JSX |        275 |          0 |         20 |        295 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/ModelDeployment/ModelDeployment.jsx                                             | JavaScript JSX |        102 |          0 |          8 |        110 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/ReverseML/ReverseML.jsx                                                         | JavaScript JSX |        110 |          0 |          8 |        118 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/FunctionBased/Functions/TimeSeriesAnalysis/TimeSeriesAnalysis.jsx                                       | JavaScript JSX |        226 |          1 |         12 |        239 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Layout.jsx                                                                                              | JavaScript JSX |         12 |          0 |          3 |         15 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/ChartNode/ChartNode.jsx                                                           | JavaScript JSX |         67 |          1 |          5 |         73 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/EDANode/EDANode.jsx                                                               | JavaScript JSX |         57 |          0 |          6 |         63 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/TableNode/TableNode.jsx                                                           | JavaScript JSX |         83 |          1 |          7 |         91 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/CustomNodes/UploadFile/UploadFile.jsx                                                         | JavaScript JSX |         91 |          0 |         13 |        104 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/UpdateEDANode.jsx                                                   | JavaScript JSX |        142 |          0 |          8 |        150 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/BarPlot.jsx                                                   | JavaScript JSX |        119 |          0 |          6 |        125 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/BoxPlot.jsx                                                   | JavaScript JSX |         62 |          3 |          4 |         69 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/CountPlot.jsx                                                 | JavaScript JSX |         56 |          2 |          5 |         63 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/CustomPlot.jsx                                                | JavaScript JSX |         27 |          3 |          3 |         33 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/Histogram.jsx                                                 | JavaScript JSX |        136 |          3 |          7 |        146 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/LinePlot.jsx                                                  | JavaScript JSX |         68 |          4 |          4 |         76 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/PiePlot.jsx                                                   | JavaScript JSX |         81 |          1 |          5 |         87 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/RegPlot.jsx                                                   | JavaScript JSX |         56 |          2 |          5 |         63 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/ScatterPlot.jsx                                               | JavaScript JSX |         55 |          3 |          5 |         63 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/UpdateNodes/UpdateEDANode/plots/ViolinPlot.jsx                                                | JavaScript JSX |         66 |          3 |          5 |         74 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/NodeBased/components/Sidebar/Sidebar.jsx                                                                | JavaScript JSX |        252 |         33 |          5 |        290 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Dashboard.jsx                                                                                     | JavaScript JSX |         21 |          0 |          5 |         26 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/EditorPage.jsx                                                                                    | JavaScript JSX |        194 |          4 |         25 |        223 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Feature_collage.svg                                                                               | XML            |        263 |          0 |          1 |        264 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/HomePage.jsx                                                                                      | JavaScript JSX |        206 |         20 |         10 |        236 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Pages/Login.jsx                                                                                         | JavaScript JSX |         64 |          0 |          3 |         67 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/FeatureEngineeringSlice.js                                                                       | JavaScript     |         64 |          1 |          4 |         69 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/ModelBuilding.js                                                                                 | JavaScript     |         30 |          2 |          4 |         36 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/NodeBasedSlices/EDASlice.js                                                                      | JavaScript     |         33 |          1 |          4 |         38 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/SideBarSlice.js                                                                                  | JavaScript     |         18 |          1 |          4 |         23 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/Slices/UploadedFileSlice.js                                                                             | JavaScript     |         18 |          1 |          4 |         23 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/TempPage.jsx                                                                                            | JavaScript JSX |         21 |          0 |          4 |         25 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/index.css                                                                                               | CSS            |         28 |          1 |          8 |         37 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/main.jsx                                                                                                | JavaScript JSX |         41 |          2 |          2 |         45 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/store.js                                                                                                | JavaScript     |         15 |          0 |          2 |         17 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/util/NodeFunctions.js                                                                                   | JavaScript     |         67 |          1 |          6 |         74 |
| /home/ahnaf/Documents/Web Development/Mf-frontend/src/util/indexDB.js                                                                                         | JavaScript     |        214 |          5 |         46 |        265 |
| Total                                                                                                                                                         |                |     13,857 |        194 |      1,010 |     15,061 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
